origem,destino,haversine_distance
0,3996,15122.6
0,2704,37667.8
0,1795,27561.2
0,2747,26703.6
0,2294,17423.0
0,3511,30266.2
0,3824,26866.8
0,3570,8359.7
0,1608,15170.7
0,2414,15188.3
0,1996,26677.0
0,373,11253.7
0,4071,19883.7
0,1378,14982.1
0,1070,6422.6
0,1890,25718.6
0,1415,28507.9
0,1536,10112.1
0,1712,32509.3
0,1952,12491.2
0,3639,16125.6
0,1910,1917.4
0,2741,18510.1
0,3617,20598.2
0,3153,12898.5
0,3483,21854.9
0,3236,31203.2
0,871,24497.2
0,3457,11975.6
0,3348,12574.3
0,3258,37845.8
0,3193,24811.9
0,1129,17640.6
0,3367,24210.2
0,3145,15116.6
0,1192,15916.9
0,3085,17969.1
0,3060,1221.9
0,2796,16055.8
0,3538,29489.6
0,2721,21508.3
0,2429,13635.4
0,1687,27738.7
0,3655,8415.9
0,1545,16654.2
0,1414,3897.4
0,69,16861.1
0,410,16370.9
0,546,35283.9
0,587,20260.0
0,4604,13644.4
0,4477,25292.1
0,4474,11671.3
0,853,10354.0
0,457,12677.2
0,4330,23533.3
0,1065,16330.5
0,3963,4182.2
0,4950,31072.6
0,3781,24840.1
0,1019,28583.3
0,1190,33741.7
0,3463,14561.3
0,1329,37699.4
0,76,27928.7
0,265,8572.3
0,412,26616.9
0,340,41269.1
0,4546,26561.0
0,1384,9370.6
0,1316,18715.0
0,1041,7589.1
0,976,11926.4
0,1119,12511.0
0,4630,22682.2
0,978,7693.9
0,965,34829.9
0,936,24463.9
0,802,12121.7
0,4397,38702.2
0,768,12217.2
0,241,10039.4
0,595,9174.5
0,594,19114.6
0,4892,22588.4
0,491,24020.7
0,4951,41700.2
0,1223,14507.5
0,3757,13604.9
0,3860,26489.8
0,3640,14006.5
0,808,26099.0
0,2850,11473.2
0,803,24218.4
0,760,15159.0
0,750,5846.0
0,3383,6426.5
0,745,32730.7
0,845,986.4
0,865,37544.3
0,704,16797.1
0,645,31468.1
0,1203,41064.7
0,582,3222.0
0,507,11431.5
0,429,11308.5
0,481,19106.0
0,1439,15567.2
0,478,11379.8
0,655,8615.8
0,4957,24106.9
0,888,11184.9
0,4884,13146.6
0,1194,25537.8
0,1150,33656.6
0,4345,14963.0
0,1126,25236.7
0,4162,16621.8
0,1097,40501.3
0,4182,30154.4
0,1081,25803.4
0,245,10001.0
0,1036,28768.9
0,1526,12840.6
0,1034,15133.6
0,4450,2886.8
0,1003,15405.3
0,942,41363.0
0,2128,14570.4
0,934,31532.5
0,1809,8042.6
0,894,31125.6
0,1593,11898.5
0,442,12431.7
0,3674,16143.9
0,404,27160.0
0,65,9537.5
0,2060,15911.4
0,3717,20498.5
0,2364,25664.9
0,4614,7652.9
0,2472,19245.6
0,2404,11030.4
0,3582,31253.0
0,3254,16469.9
0,4361,26862.6
0,3375,13327.1
0,4247,29589.1
0,3992,9921.7
0,3919,2636.3
0,3520,3672.8
0,2593,28067.1
0,2681,8582.5
0,2927,17200.7
0,3621,6575.5
0,1532,50790.1
0,1751,40709.2
0,99,28741.4
0,118,13853.1
0,1613,15679.1
0,369,18333.4
0,338,25675.8
0,324,40088.0
0,4648,22727.1
0,323,15166.2
0,294,22299.5
0,378,15228.2
0,4624,21276.6
0,288,13549.0
0,267,22325.4
0,700,31472.7
0,1854,16250.2
0,239,18458.0
0,4325,27034.1
0,196,31924.9
0,1045,26276.4
0,121,14120.3
0,1989,34765.9
0,1998,12847.9
0,1222,18146.1
0,3352,16320.4
0,3194,36922.7
0,1591,11386.1
0,1055,12822.8
0,1091,9979.8
0,1501,13696.8
0,1374,9427.6
0,2601,35690.8
0,1104,12300.4
0,1270,38849.1
0,1694,27290.4
0,1177,1179.4
0,1451,16925.3
0,935,27196.1
0,848,14295.0
0,1455,12927.6
0,809,22279.9
0,775,18371.4
0,1553,18635.7
0,2311,25856.4
0,2403,14724.2
0,533,14906.4
0,3052,9938.1
0,2141,23698.2
0,3512,13369.6
0,3022,18510.9
0,4767,36537.0
0,3356,4757.2
0,3271,14666.8
0,4862,10087.7
0,3339,11746.5
0,4978,14041.5
0,2949,8574.9
0,3830,24891.5
0,129,4895.9
0,2752,14311.7
0,2287,14426.8
0,2645,24543.9
0,2635,40945.7
0,2395,11106.6
0,3608,37963.1
0,2198,15901.9
0,3175,29283.6
0,2283,26018.1
0,4716,10051.0
0,617,14956.3
0,1819,14198.2
0,4348,11968.3
0,4727,25087.2
0,4128,19231.6
0,3391,11642.2
0,4023,16178.4
0,3962,36713.4
0,1362,36197.8
0,3913,14683.0
0,3156,43222.0
0,3441,16034.4
0,3862,13797.4
0,3708,8504.3
0,3506,25115.3
0,3393,20931.0
0,3365,15851.1
0,4240,3772.3
0,3283,13980.7
0,3197,25123.6
0,3887,18379.2
0,4449,16715.6
0,2582,20443.1
0,1682,24275.0
0,555,24142.4
0,3904,11969.3
0,1845,3253.2
0,1971,8436.8
0,4070,18169.7
0,1799,21290.8
0,2026,35849.6
0,397,8577.8
0,4922,26640.2
0,4908,53987.5
0,1736,16015.4
0,4865,36566.3
0,2118,12476.6
0,2210,16156.6
0,2142,31411.6
0,1693,30541.3
0,4800,5578.0
0,2309,20610.2
0,4664,20388.0
0,581,9192.9
0,3714,17560.1
0,4791,15020.7
0,3965,38887.2
0,3244,22428.3
0,4492,34874.7
0,2186,1644.8
0,2086,4318.3
0,3202,33494.4
0,1875,15265.2
0,391,14035.2
0,1735,13678.4
0,2193,27366.5
0,1714,29367.0
0,1572,11393.4
0,3006,938.6
0,741,31085.9
0,1416,17213.9
0,1413,13514.3
0,1396,23841.4
0,3209,2188.1
0,1212,31570.3
0,568,9408.5
0,2428,32489.4
0,2272,37122.8
0,2315,16366.2
0,4313,10298.4
0,4271,13670.7
0,2743,35535.2
0,4263,16773.6
0,2869,28813.2
0,3291,26232.8
0,4251,22589.5
0,2781,18688.3
0,2628,35406.4
0,1842,24731.2
0,375,18744.1
0,1356,19211.4
0,2521,27136.6
0,2482,12917.5
0,1562,26413.7
0,2350,18132.8
0,2054,13976.0
0,2330,9070.2
0,2247,14482.7
0,1168,37015.9
0,3272,3747.9
0,843,13208.7
0,2957,30620.8
0,1760,23592.0
0,3815,11596.0
0,4886,32554.8
0,4851,15301.7
0,3891,14293.7
0,4815,7211.2
0,4792,9050.2
0,4156,15151.8
0,4749,13922.0
0,4679,12321.2
0,4303,23438.8
0,4554,11386.5
0,4638,15604.0
0,2111,26358.7
0,527,16890.3
0,4681,15972.1
0,4033,18708.8
0,4712,20551.2
0,3971,37092.8
0,4934,8746.2
0,1389,16107.1
0,4958,40638.4
0,1792,28964.1
0,836,13103.3
0,2134,16766.9
0,797,36055.0
0,794,40820.3
0,772,10170.9
0,769,11683.9
0,3351,5829.1
0,3699,31299.8
0,756,33822.3
0,674,36540.0
0,508,9263.9
0,486,15487.1
0,3543,13758.7
0,289,43085.6
0,1942,18510.9
0,250,24121.4
0,930,39231.2
0,1798,35137.5
0,131,15197.2
0,47,43170.3
0,3020,20888.0
0,3938,11426.2
0,3819,13253.5
0,2293,13204.6
0,2355,14853.1
0,463,9692.3
0,2324,22208.9
0,459,25226.9
0,2530,24217.0
0,198,14387.5
0,2214,16856.2
0,2323,10931.4
0,195,23841.4
0,152,13951.8
0,2207,13304.7
0,111,43353.5
0,3563,15575.3
0,2394,25383.8
0,97,13493.9
0,64,15056.5
0,2197,10802.7
0,2954,11338.2
0,650,14377.5
0,2529,22297.8
0,755,13957.4
0,2021,33356.8
0,1754,8779.9
0,1002,22381.2
0,2755,19337.7
0,1006,11536.9
0,1631,27124.3
0,2068,14279.0
0,1503,11293.3
0,1040,33041.8
0,1417,23435.4
0,2735,17877.2
0,2241,24912.1
0,2578,13227.0
0,1115,11265.0
0,1892,12711.1
0,1013,14894.8
0,2537,29402.2
0,432,12998.0
0,781,14533.9
0,4994,12566.2
0,2805,10861.8
0,4944,30459.5
0,4925,19185.2
0,4538,13227.7
0,2273,34765.2
0,3267,31864.9
0,4505,15255.2
0,2560,8929.4
0,1614,26993.3
0,4498,21440.1
0,1541,24804.8
0,3206,16092.3
0,4488,34023.4
0,3320,29370.5
0,4399,15195.0
0,1474,26254.1
0,4394,37566.2
0,4386,9390.1
0,1292,19778.6
0,4367,15027.3
0,1267,34042.5
0,4423,30130.0
0,4540,15269.0
0,2168,14025.6
0,2160,34545.5
0,4881,24360.5
0,1993,12007.9
0,4873,22592.0
0,1938,28139.9
0,351,4712.1
0,4840,55424.6
0,4838,18784.7
0,535,32474.6
0,4723,12745.8
0,1773,12780.0
0,4662,30443.0
0,2744,12980.2
0,4659,4117.9
0,1250,28514.4
0,4634,35577.4
0,1741,25555.0
0,4621,12605.9
0,4606,15831.9
0,1620,18025.7
0,2103,13756.2
0,1916,11419.7
0,2884,24037.3
0,2999,12795.6
0,270,34678.6
0,4798,12754.2
0,395,16729.6
0,379,29098.5
0,345,19813.5
0,532,14477.5
0,4919,25294.0
0,79,14280.5
0,531,15548.0
0,4894,19973.1
0,578,24468.1
0,4802,24481.0
0,580,12281.8
0,4864,28153.8
0,558,27760.6
0,4533,25063.0
0,4592,26077.1
0,753,29869.3
0,409,15646.0
0,665,13659.7
0,4503,7824.1
0,88,9521.5
0,2920,32969.8
0,2761,32411.7
0,784,17024.2
0,2152,25031.4
0,3547,20223.1
0,1789,26295.4
0,4002,5432.1
0,4205,12563.2
0,1668,12007.6
0,4246,35072.2
0,1574,16046.0
0,1615,28207.1
0,1251,16580.1
0,4337,4156.8
0,1441,12447.3
0,4447,32098.9
0,959,4690.5
0,1213,7041.9
0,4904,13134.7
0,4544,36076.6
0,952,16673.8
0,4496,24275.2
0,964,11963.1
0,3165,11241.3
0,3794,8631.0
0,3767,8528.9
0,3447,17753.8
0,3442,38277.6
0,3435,10283.2
0,2569,21118.0
0,3260,20994.0
0,1724,26334.9
0,2480,11629.0
0,3124,9275.2
0,4640,11372.5
0,3123,10106.8
0,2231,38867.7
0,2188,23208.6
0,2177,4470.5
0,3120,22500.9
0,2062,2989.9
0,430,15400.6
0,1438,9383.7
0,4349,12730.2
0,1284,33903.4
0,3453,13267.8
0,4384,16344.1
0,4050,12515.4
0,903,15714.2
0,4368,11507.7
0,1540,13800.3
0,3885,19491.8
0,1264,3622.6
0,3855,11431.6
0,1730,30022.9
0,3841,13546.6
0,4328,23801.1
0,3791,22179.4
0,3773,28371.7
0,2379,34422.2
0,3712,2348.2
0,4233,12317.9
0,3979,11695.9
0,3967,15808.4
0,3909,27282.7
0,2849,14981.2
0,1259,31937.9
0,3376,1182.0
0,1237,14378.2
0,2425,12494.8
0,2390,10624.9
0,2114,19766.4
0,2387,5349.3
0,2328,317.2
0,2377,32205.2
0,2336,23842.4
0,2302,43269.2
0,2014,31076.0
0,2815,7557.1
0,2250,14729.7
0,3341,4632.0
0,2528,12328.3
0,2216,16636.8
0,2195,16000.6
0,737,8497.9
0,2178,28916.8
0,2558,30474.1
0,3021,8149.4
0,2436,11912.5
0,2443,28020.7
0,3030,14963.4
0,3741,41608.9
0,2692,36310.8
0,2664,24820.1
0,2661,13488.9
0,1581,28852.2
0,2643,15577.5
0,1616,43355.9
0,2613,25675.5
0,2600,16443.9
0,2557,10508.9
0,3491,15453.4
0,2550,38041.7
0,1802,41399.3
0,2539,29883.0
0,1866,12630.1
0,2533,16004.1
0,1893,28034.8
0,2523,16089.8
0,2500,13311.3
0,3614,27965.1
0,2799,14972.2
0,2083,11139.3
0,2035,22908.4
0,2930,39288.1
0,2347,13258.6
0,1491,10906.0
0,3089,24270.1
0,2619,25952.5
0,1473,19786.8
0,1433,19296.7
0,1408,31237.9
0,1495,2915.0
0,2185,15060.8
0,3432,15667.4
0,1324,4173.1
0,3470,15356.6
0,1280,39544.1
0,3504,21114.4
0,1277,14584.2
0,3939,53036.5
0,1269,40913.2
0,1340,13413.4
0,1566,23890.4
0,2072,11444.4
0,1766,15653.2
0,2013,25434.1
0,1975,28039.5
